Waterbody_ID,SI_ID,Effort,Fish_Number,Trophic_Category,Taxonomic_ID_Code,Taxonomic_ID_Text,FLEN,TLEN,RWT,d13C,d13C_corr,d15N,CN_Ratio,Source_Project_for_Data,Source_Organization_or_Individual,Date.of.Primary,Area,Depmax,Depmn,Secchi_Spr,TDS,DD5_8110,MAT_8110,pLittoral,Max_surface_Temp,Thermo_Obs,Thermo_Pred,Hypo_Space_Vol_obs,Hypo_Space_Vol_pred,TP,pH,Conductivity,SppRichness,pArea_epi,TOHA,DistancetoRoad..km.,Strahler,Shreve,MeanElev,Number.AIS.spp,AIS.Name,DIC,DOC,Precip,Julian_Day,mean_d13C_zp,std_d13C_zp,mean_d13C_zp_corr,std_d13C_zp_corr,mean_d15N_zp,std_d15N_zp,mean_d13C_mu,std_d13C_mu,mean_d13C_mu_corr,std_d13C_mu_corr,mean_d15N_mu,std_d15N_mu,mean_d13C_sn,std_d13C_sn,mean_d13C_sn_corr,std_d13C_sn_corr,mean_d15N_sn,std_d15N_sn,mean_d13C_ma,std_d13C_ma,mean_d13C_ma_corr,std_d13C_ma_corr,mean_d15N_ma,std_d15N_ma,mean_d13C_am,std_d13C_am,mean_d13C_am_corr,std_d13C_am_corr,mean_d15N_am,std_d15N_am,mean_d13C_ca,std_d13C_ca,mean_d13C_ca_corr,std_d13C_ca_corr,mean_d15N_ca,std_d15N_ca,mean_d13C_in,std_d13C_in,mean_d13C_in_corr,std_d13C_in_corr,mean_d15N_in,std_d15N_in
17-6187-49397,BAS001,4,1,PRED,317,LargemouthBass,NA,NA,NA,NA,NA,NA,NA,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS002A,4,2,PRED,317,LargemouthBass,NA,NA,NA,NA,NA,NA,NA,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS003,4,3,PRED,317,LargemouthBass,NA,NA,NA,-25.74,-25.74,14.14,3.2,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS004,5,1,PRED,316,SmallmouthBass,NA,NA,NA,-29.01,-29.01,14.72,3.38,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS005,5,2,PRED,316,SmallmouthBass,NA,NA,NA,-26.56,-26.56,14.29,3.15,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS006,5,3,PRED,316,SmallmouthBass,NA,NA,NA,-26.42,-26.42,14.05,3.21,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS007,5,5,PRED,316,SmallmouthBass,NA,NA,NA,-25.56,-25.56,14.06,3.41,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS008,5,6,PRED,316,SmallmouthBass,NA,NA,NA,-27.01,-27.01,14.06,3.27,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS009,5,7,PRED,316,SmallmouthBass,NA,NA,NA,-25.84,-25.84,13.69,3.26,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17-6187-49397,BAS010,5,8,PRED,316,SmallmouthBass,NA,NA,NA,-25.89,-25.89,14.15,3.19,BSM_Project,OMNRF_and_Lauren_Jarvis,10-Sep-12,550,9.1,3.4,6.8,191.808,2008,6.9,0.707,23.299,NA,7.019573454,NA,< 0.01,7.7,8.1,288,14,0.915750287,0.000554314,0.74,4,32,252,1,Zebra mussel ,33.4,5.9,1006,253,-32.82,NA,-27.329,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
